date,death
2012-08-14,129
2012-08-15,212
2012-08-16,189
2012-08-17,164
2012-08-18,158
2012-08-19,150
2012-08-20,195
2012-08-21,198
2012-08-22,215
2012-08-23,216
2012-08-24,251
2012-08-25,484
2012-08-26,250
2012-08-27,248
2012-08-28,141
2012-08-29,161
2012-08-30,153
2012-08-31,111
2012-09-01,243
2012-09-02,156
2012-09-03,218
2012-09-04,148
2012-09-05,216
2012-09-06,139
2012-09-07,129
2012-09-08,157
2012-09-09,151
2012-09-10,167
2012-09-11,182
2012-09-12,191
2012-09-13,176
2012-09-14,144
2012-09-15,190
2012-09-16,177
2012-09-17,132
2012-09-18,169
2012-09-19,146
2012-09-20,242
2012-09-21,110
2012-09-22,192
2012-09-23,95
2012-09-24,127
2012-09-25,183
2012-09-26,304
2012-09-27,180
2012-09-28,186
2012-09-29,148
2012-09-30,162
2012-10-01,187
2012-10-02,161
2012-10-03,211
2012-10-04,120
2012-10-05,125
2012-10-06,106
2012-10-07,150
2012-10-08,217
2012-10-09,174
2012-10-10,184
2012-10-11,204
2012-10-12,120
2012-10-13,163
2012-10-14,117
2012-10-15,120
2012-10-16,143
2012-10-17,175
2012-10-18,228
2012-10-19,142
2012-10-20,157
2012-10-21,148
2012-10-22,136
2012-10-23,180
2012-10-24,153
2012-10-25,109
2012-10-26,130
2012-10-27,93
2012-10-28,161
2012-10-29,106
2012-10-30,179
2012-10-31,160
2012-11-01,167
2012-11-02,171
2012-11-03,199
2012-11-04,209
2012-11-05,192
2012-11-06,160
2012-11-07,181
2012-11-08,143
2012-11-09,156
2012-11-10,112
2012-11-11,84
2012-11-12,152
2012-11-13,171
2012-11-14,99
2012-11-15,118
2012-11-16,105
2012-11-17,143
2012-11-18,77
2012-11-19,181
2012-11-20,122
2012-11-21,121
2012-11-22,123
2012-11-23,80
2012-11-24,91
2012-11-25,163
2012-11-26,123
2012-11-27,135
2012-11-28,153
2012-11-29,105
2012-11-30,148
2012-12-01,180
2012-12-02,207
2012-12-03,216
2012-12-04,124
2012-12-05,101
2012-12-06,84
2012-12-07,101
2012-12-08,95
2012-12-09,102
2012-12-10,143
2012-12-11,146
2012-12-12,131
2012-12-13,146
2012-12-14,100
2012-12-15,143
2012-12-16,194
2012-12-17,177
2012-12-18,135
2012-12-19,158
2012-12-20,132
2012-12-21,151
2012-12-22,147
2012-12-23,188
2012-12-24,155
2012-12-25,202
2012-12-26,141
2012-12-27,140
2012-12-28,170
2012-12-29,179
2012-12-30,164
2012-12-31,148
2013-01-01,103
2013-01-02,211
2013-01-03,188
2013-01-04,105
2013-01-05,92
2013-01-06,133
2013-01-07,71
2013-01-08,128
2013-01-09,78
2013-01-10,45
2013-01-11,67
2013-01-12,150
2013-01-13,153
2013-01-14,157
2013-01-15,294
2013-01-16,167
2013-01-17,165
2013-01-18,203
2013-01-19,85
2013-01-20,147
2013-01-21,122
2013-01-22,115
2013-01-23,110
